,price
14665,110
36959,60
27150,180
19384,130
48300,135
6642,148
19971,103
16330,75
6433,120
30472,200
27936,95
42283,250
22380,45
34432,125
41764,60
18894,50
15984,59
24020,87
17333,64
23518,115
42528,55
46174,39
18159,70
43955,54
14696,229
44660,145
33288,129
10006,60
7890,168
20649,90
36602,85
37326,100
3777,199
20557,175
48646,78
4486,100
33025,70
9004,47
12588,230
17595,95
22626,215
32185,45
313,169
40503,180
31377,55
5175,150
28795,34
14383,120
9965,60
19642,100
21644,82
19449,70
11687,175
28970,110
37534,75
38861,50
982,75
15304,78
32746,60
28165,79
21030,175
38184,70
37637,155
6191,200
32863,90
17950,199
28491,50
31529,102
31958,295
13978,145
488,85
37909,75
19993,220
15996,160
2322,99
2041,160
3328,45
32754,50
13446,153
36758,45
6601,129
26801,77
27084,95
37095,72
17793,55
22549,100
16908,150
12930,197
17172,40
40182,180
24414,100
17110,36
36634,60
9809,190
42103,150
47715,50
10177,116
36928,65
45548,99
39914,165
9093,230
2442,53
40866,45
41227,179
11999,50
10231,75
14941,65
33296,75
41518,195
15352,80
28425,65
23829,125
6680,130
36589,120
25289,99
15183,59
39681,70
16144,170
32356,55
20567,150
31339,130
16655,159
42706,90
26531,125
5608,215
11208,80
47038,68
1773,175
48173,50
1555,70
33598,150
24662,48
45709,45
42577,135
5296,130
9660,150
23771,100
45423,185
33178,90
17789,125
22708,38
48320,50
17010,130
18362,89
37428,200
15143,67
48527,299
25018,82
17129,259
13777,50
23702,40
45319,85
8575,80
48174,60
47902,175
10388,120
12769,39
29349,75
40965,140
22744,90
47789,110
22981,199
17732,150
37585,95
30423,145
38273,95
12507,155
19897,42
44343,299
44417,120
11022,149
48445,51
9059,220
34748,89
8033,220
40072,60
34932,155
27534,90
23430,70
25625,265
26825,40
12006,104
21335,140
6847,70
13791,80
14441,35
1467,200
12060,183
46354,96
7285,59
20255,75
22356,60
42020,50
13353,115
1275,135
11298,100
18784,239
11403,190
3841,300
30430,70
28091,50
41421,194
37092,200
45728,117
39767,55
21951,199
9731,105
40910,50
18764,49
45022,290
1156,199
31766,85
19066,50
16398,75
48710,125
13861,85
13157,50
10931,125
35,89
47310,51
48252,75
30267,149
26374,119
28604,180
44148,195
43357,110
7119,135
38292,90
25661,80
42787,177
25765,205
35341,75
29798,30
12352,100
14418,125
42429,140
13152,70
18094,85
46695,198
20625,60
10972,130
9450,96
39478,46
17278,35
7641,150
20686,105
32637,70
40015,300
33607,55
6209,205
20264,199
5524,275
26072,45
7956,75
40961,42
48078,70
37013,182
38221,63
41822,47
11618,79
5714,119
16134,65
42009,160
21609,90
9403,90
16027,125
8007,210
95,105
8359,272
33921,200
13701,99
3692,220
39424,150
19005,80
34392,110
6716,117
39363,285
42448,59
14959,65
30507,45
22375,88
36185,100
25353,70
765,110
3710,250
36714,150
41526,129
18402,130
40971,60
47817,230
46006,180
7084,90
7882,80
5117,250
16692,120
2593,85
16219,52
41669,67
42438,115
11554,190
28641,42
19298,95
34055,110
12132,95
44814,58
27667,60
42012,50
9929,90
4301,100
30031,115
36542,215
9787,60
10233,221
5830,175
102,65
16177,49
27524,67
17648,250
13357,40
24688,125
6998,229
6076,200
15901,200
5234,104
10745,75
30520,200
45015,100
26567,105
29567,75
2916,96
30986,120
13726,41
21808,100
46002,75
24536,159
34770,100
44465,109
9835,75
7240,145
16584,149
38746,255
33427,200
17942,125
29605,130
12065,50
42387,50
21198,66
45199,110
1750,150
40828,85
40722,200
21909,75
2274,47
20277,139
36578,80
40635,40
14587,45
11148,220
35255,43
8694,100
8566,200
27589,175
9799,55
15708,80
26548,55
12658,200
17520,47
20823,99
1304,110
40895,79
37098,140
31585,79
12864,180
39959,89
28610,70
14002,70
28175,31
44398,257
26117,181
21336,200
15103,80
19586,54
2581,169
44795,42
37567,65
39801,113
16738,46
30521,50
24217,89
32448,110
20723,125
27731,130
10515,104
21566,53
41497,85
22809,100
14669,95
27568,100
31163,115
14860,200
37933,60
42543,225
4679,158
31146,45
13050,90
46875,100
2601,70
23058,116
20640,100
4549,184
3485,169
73,65
16212,140
37700,110
46813,55
23661,195
31156,175
34773,195
41029,100
8822,150
30357,26
6900,107
40406,74
5642,85
47021,89
21116,65
5697,90
7917,80
3596,99
10773,80
45688,63
11912,125
36301,69
30561,42
26467,160
44020,123
30566,150
3568,85
1375,120
15098,79
13876,196
42456,55
36158,100
27849,228
46560,131
37070,130
48578,40
5209,45
35781,150
6757,300
7823,175
474,205
34489,60
22551,75
45282,240
22914,60
19053,50
45381,139
26886,300
6940,84
40465,70
30466,39
46676,160
22530,94
31240,150
21961,134
28940,100
35477,240
2354,64
3072,175
17194,150
32489,65
11081,97
20137,75
12246,115
12166,275
40355,80
41542,120
35098,197
28325,49
25525,295
1533,134
12839,83
5716,85
43247,225
42650,75
26059,210
48341,35
18156,149
1033,190
46761,220
2038,100
16178,55
15957,50
32729,186
13081,140
47621,80
19798,55
18252,69
24598,59
38586,50
45831,200
25861,55
4828,55
41062,175
5169,55
16617,80
4875,179
37778,276
30171,109
37655,90
12968,60
4086,145
32337,65
16367,200
45828,79
7315,300
6384,135
36933,250
25478,80
25858,80
44114,78
11621,239
32312,199
42231,80
16394,80
21549,75
42605,175
47359,150
36326,55
1844,110
3325,50
10843,80
20841,100
44642,299
22444,100
35915,40
11191,195
2187,85
14201,30
1855,135
43655,100
41786,75
7061,50
36366,120
42610,175
39099,166
1890,90
6694,79
37458,59
24827,110
20762,120
989,250
5393,125
42485,65
22245,115
32881,100
22974,153
14369,33
45358,86
12562,90
26628,48
26099,100
5626,125
4111,67
30765,75
9505,299
13229,90
3161,53
17056,59
6570,300
33153,208
44473,110
26785,70
12954,80
22090,95
38293,302
4148,140
48885,75
39263,160
35428,110
21293,85
13881,75
20514,90
623,190
4005,145
11376,179
18093,115
40511,271
11116,150
44668,130
33494,49
43747,250
33839,88
21494,64
46235,125
26078,145
22110,170
41433,250
36287,180
33812,65
5199,69
4672,330
1374,300
21976,140
30142,120
12622,48
25856,53
48521,70
31882,50
38092,60
6579,127
27744,80
34425,320
14906,275
10040,42
15710,200
38154,250
22940,180
34208,165
25935,95
13327,35
48336,30
32300,92
18218,200
44118,140
10941,70
240,140
16343,125
31716,40
48121,175
24738,225
22483,300
34686,55
15550,75
47554,300
42957,295
9933,48
24236,174
37910,241
6879,125
23688,150
40047,160
12519,99
26104,49
10396,48
7797,259
14766,250
29533,74
40937,107
47957,250
46301,159
19445,120
13267,85
38636,260
32652,60
2728,99
7636,30
22901,75
30771,129
43898,75
48789,225
25747,170
20311,108
19503,85
47633,78
1418,165
26882,92
21344,185
3200,175
5522,115
3085,92
1010,75
35664,59
31612,90
1042,138
18581,175
8498,90
17849,215
23965,65
29534,69
23394,55
11272,199
3847,180
47797,80
3896,250
5994,160
9069,130
34852,100
40358,140
16909,85
40468,49
9860,85
26609,60
40517,125
43128,99
18151,91
24488,50
9158,110
45148,222
41863,220
17428,124
21689,75
15821,85
16916,119
46935,198
5934,199
12199,114
23847,93
9741,75
29156,35
22234,110
36453,80
46568,30
17778,225
17337,118
2083,75
39333,165
7406,95
25873,210
33614,150
25566,150
1004,145
46119,150
42068,100
23156,185
43402,182
13670,255
4676,165
12766,31
44765,320
42581,250
17303,185
13727,90
13448,200
29733,50
40823,60
13628,220
27684,45
1639,170
33933,55
3532,55
4405,110
20408,300
26684,175
47318,249
28772,70
6760,49
10535,65
48237,159
38207,162
5235,99
40075,175
30821,149
19264,150
48576,120
39476,150
0,149
25543,72
42794,35
33580,53
15930,150
26752,135
442,125
38286,75
32153,150
5350,97
14389,140
35044,239
14868,199
23892,210
33788,105
43674,59
21908,80
26778,80
35048,115
25244,65
560,70
23746,65
15938,150
28871,63
23621,100
23830,125
10961,89
46845,249
14472,190
30953,65
1583,100
4512,70
2697,140
14015,50
37028,100
2145,170
36644,49
23444,125
46265,28
35517,83
9956,50
20947,50
4378,169
36328,90
45539,75
40089,55
33882,40
44170,35
21784,150
47255,200
12690,140
25125,165
22952,90
26960,60
25977,125
18289,105
13018,55
8350,105
31487,145
13602,50
42466,165
20718,135
23882,90
39303,35
34796,200
25743,50
18769,65
20428,66
3836,200
41122,144
10982,250
45772,169
9114,55
31966,54
18522,122
6086,115
584,146
13177,91
14611,190
3951,100
44189,275
7643,99
21015,200
19643,320
25703,275
23568,125
8715,108
24004,130
19660,69
16126,170
25976,70
5636,58
4572,75
23691,59
38454,85
30106,46
235,125
29335,60
37311,65
31259,299
14668,52
10661,110
7335,47
7019,80
11624,175
47646,125
37737,84
4460,115
2579,125
28613,190
5252,275
20134,130
8613,250
44369,220
45033,79
26284,55
26240,29
10105,111
21621,110
39410,155
28715,140
5005,130
32758,200
34379,245
35810,120
35896,200
45718,54
36806,175
18561,75
27202,65
44492,115
7587,50
18489,250
9665,69
2705,178
38270,179
17704,62
8797,100
45914,300
30313,100
48219,45
16236,289
15878,170
16436,75
7202,95
12591,46
8300,75
6175,97
44898,100
29740,46
12450,63
40336,175
2305,209
45231,69
4154,100
35059,35
25317,150
20379,80
13839,120
33691,25
45137,129
48541,185
35096,184
35204,50
20998,123
28344,150
12541,63
34104,150
21516,159
1149,50
46436,50
23322,245
29024,205
27790,95
33781,120
29462,58
29514,100
29367,65
11729,100
29957,65
48599,75
1819,225
44460,48
46374,45
18966,110
43168,75
44614,180
17411,225
6043,90
39292,59
12784,24
29619,48
9313,43
8801,147
12330,300
42327,140
32929,109
45154,48
46488,48
47054,60
46955,145
37273,140
37592,120
4920,151
39810,299
5063,150
28904,109
29455,140
16740,150
14397,40
17075,250
8955,40
35256,37
42002,100
17910,65
502,189
46712,90
3409,52
19973,41
38282,50
31690,65
35423,48
43997,75
14072,130
35462,25
21274,90
24002,37
11478,100
40200,20
35796,59
42653,50
31559,114
3751,75
9356,99
992,90
16813,185
16650,139
8647,169
13600,80
27386,59
12417,195
16170,28
11444,170
18465,95
37022,150
4199,100
8711,220
8022,87
13612,45
41775,190
21581,80
48868,25
48149,59
48824,80
1784,85
36722,49
44741,135
21459,100
42507,150
40520,45
16882,190
34468,100
28828,100
45380,70
39276,118
32949,175
8881,89
20704,142
25394,115
19016,40
38925,115
37649,225
25131,105
8827,110
36244,275
4187,200
32832,65
47130,20
34831,230
25148,199
37883,250
3431,75
30957,48
41744,55
44901,65
45804,165
12360,85
28968,50
18303,75
33652,50
20293,64
46068,89
3767,199
38234,60
36423,65
33524,210
5769,75
15805,75
47484,100
10457,250
30132,44
41746,192
42089,275
3744,130
8266,190
45068,100
39194,138
45910,150
21277,91
31522,110
37795,70
26932,150
40642,77
27868,50
35489,99
33496,99
15914,150
38538,85
21294,240
16557,120
15078,52
8476,106
13472,60
38637,59
9244,125
38717,312
26299,70
34729,51
6571,31
28996,140
27754,65
26320,52
32735,50
10547,125
36621,125
21031,91
24872,200
19987,300
29286,170
31328,50
29489,120
39820,175
18953,99
19036,163
24507,99
46417,150
22107,80
10749,99
16935,150
31506,323
24108,55
45561,55
38285,188
19599,55
43842,95
31016,60
28816,70
9619,150
3447,55
2126,149
47000,50
21783,150
26294,99
20446,97
8753,68
48351,200
22066,37
19858,45
17564,58
9309,90
33514,175
8458,135
47663,119
11516,65
19541,78
27720,92
9963,130
8065,280
26017,145
25969,87
24595,180
33590,49
35328,80
45327,150
26860,130
36979,49
47585,95
11590,175
32792,38
14044,110
30487,65
36037,69
11141,45
48798,140
16811,38
45302,36
25991,200
9921,150
18534,100
7901,45
41350,30
20503,45
11812,120
17687,175
23727,200
7559,90
35642,48
12392,90
30199,118
30993,95
14057,200
27261,125
4129,140
43920,65
27161,145
24466,50
12228,85
14039,155
34099,65
17791,100
15695,224
42455,120
26659,150
12815,60
9777,60
6773,97
16487,110
45371,150
21539,100
7866,65
7218,60
2357,175
17490,200
17936,199
39431,55
10998,180
5672,80
18530,40
41314,85
25662,50
3419,120
4248,75
10970,65
28589,39
6202,85
25987,76
34185,200
664,140
44128,170
29397,30
3546,120
6520,299
47229,89
31298,79
38708,289
25513,115
24607,135
33235,40
29629,40
28337,45
44097,100
15292,295
19317,198
33985,113
28844,145
17586,50
43303,125
22616,145
28073,100
9147,80
40273,59
40229,40
33346,120
1137,100
3876,45
23599,100
35145,40
44790,50
34526,320
31171,100
12601,112
37441,200
11580,150
232,250
33719,33
27818,125
24777,120
29573,60
37209,90
29353,105
3254,220
738,60
15318,150
4188,90
14549,120
3881,38
12003,161
21236,130
18447,185
16878,106
45961,149
4101,180
15803,244
45382,149
23188,265
46142,220
10414,115
32311,250
42842,120
36891,135
10328,108
16203,190
33277,220
9786,133
3481,100
37217,125
2125,325
20402,30
24808,100
11810,60
4296,75
37905,80
47090,210
13731,35
3378,100
38190,100
3160,38
7128,70
30502,74
6748,150
48146,40
8672,59
44047,118
27885,245
8221,75
3517,30
38232,62
37172,50
31390,150
24563,146
26989,70
45244,100
31987,199
10565,225
29248,48
5022,150
20472,57
21525,300
26651,100
31711,42
13708,150
6603,185
44332,39
36122,37
10828,215
28494,50
740,130
32393,125
28770,125
28090,85
18706,79
33424,38
26984,190
43330,76
43497,68
48598,239
38556,149
8279,249
21410,55
26307,110
40118,150
14908,142
850,75
40716,95
44688,150
45983,38
41800,82
10678,80
47631,125
14623,158
17442,175
22119,170
40968,73
19920,160
43646,119
29436,179
34057,100
22083,97
18286,99
27877,95
29537,80
41787,30
11461,130
47491,299
38268,199
25654,105
9063,110
14258,79
41922,80
12829,139
35110,65
11876,325
23559,36
32134,100
11910,150
30854,100
3626,100
44981,100
46843,48
28965,45
17885,100
2298,85
6317,85
38845,115
41496,65
13386,80
29871,140
17725,130
40671,70
42417,45
12308,60
26408,50
15880,109
37164,115
11573,105
17567,35
33171,139
39260,80
42878,250
37465,120
11605,165
41947,89
9488,295
45255,175
8339,160
23741,170
43813,225
26998,58
37232,55
47004,49
45593,25
45424,200
17196,65
29745,280
27057,25
33976,60
13942,45
7598,59
32968,90
44374,180
28913,55
42562,86
34501,150
41475,214
19420,53
35624,99
30332,80
14710,32
34785,175
13647,235
18426,100
4439,175
1802,60
1028,325
34662,196
37221,60
35878,140
38237,92
42995,55
46862,85
42248,63
32397,85
20909,90
44152,24
26535,190
22855,260
26155,137
41841,115
31807,40
29981,48
13250,25
29859,75
23244,160
29253,139
11890,125
31736,250
21997,85
5294,125
18204,180
29006,249
48891,40
5429,270
37682,110
10631,180
47067,70
1029,99
9353,135
2329,110
24541,60
17861,85
30893,50
32234,65
374,165
6648,250
4173,149
2079,155
3903,30
46010,180
21838,73
40150,150
23531,75
40945,149
17521,125
36642,95
48313,180
25122,169
3688,55
10450,130
19475,75
21209,22
16751,139
35987,26
8916,90
47408,70
44421,187
46934,189
15311,125
3492,69
29817,25
47988,150
26227,210
10160,47
40920,165
13437,60
47361,150
29464,25
36585,125
25240,125
46514,250
16681,239
13463,119
35425,167
16775,76
44027,59
42894,214
28509,185
48334,95
3023,55
11500,82
28189,139
2111,62
40605,92
31567,100
10769,174
21589,150
5160,70
28971,90
35974,115
41605,189
30276,150
42181,50
27601,47
21875,79
27687,65
19611,180
40871,185
9559,130
47751,135
25334,200
28234,250
2311,125
31760,59
1233,100
21390,55
12069,72
23839,60
30045,100
31857,75
16489,35
25187,140
17544,150
43358,245
15715,180
5673,85
29272,220
1264,195
6637,149
35081,90
36789,179
39952,149
34417,220
44236,50
43637,139
48596,90
34019,285
13729,81
37027,200
30184,37
3092,175
36814,175
30508,250
45685,68
30751,35
4096,31
45102,120
25362,110
46384,320
45896,119
37812,150
19442,250
39554,42
13883,64
20938,55
35622,197
369,60
40191,65
45267,300
21855,45
22288,60
5330,200
24128,120
25698,70
44108,140
43478,65
44217,45
35978,78
45353,275
35348,34
41185,80
15634,55
47828,220
42411,199
31262,120
33260,65
24730,85
34952,90
18345,130
39014,109
10814,150
9549,120
36044,55
47756,85
25870,57
6854,200
45492,150
13171,85
5446,175
7499,200
2326,115
31901,70
43162,80
23295,250
25739,185
43636,250
11238,110
22893,140
19418,80
36046,47
33677,80
2167,50
47103,87
37411,100
27771,125
8159,80
35085,140
20834,110
39452,49
46266,100
875,99
31305,150
43919,65
45682,75
12832,50
12494,55
30039,300
17131,270
19715,139
22518,64
44295,60
30160,80
10068,86
11226,112
12209,182
8810,85
7774,105
3132,299
30179,200
11840,150
30837,50
13146,40
11379,100
5166,200
18408,115
37668,200
30342,100
4528,64
24103,132
10192,150
31133,55
24770,165
3048,150
38802,251
5686,130
10730,85
40148,110
6218,120
43707,36
10144,70
41252,96
4692,121
16358,50
28748,74
15426,169
20193,145
26970,120
11414,129
6389,140
32869,300
27912,95
42072,100
4830,175
41228,130
25036,100
40096,188
16844,35
23576,110
39806,40
46646,95
34249,329
38885,150
15747,100
20562,165
22993,199
13606,135
43412,120
8752,65
19962,80
5255,175
40815,40
24749,150
4846,250
24947,57
28429,230
8289,122
18767,50
8256,75
10352,96
8841,45
19625,55
31204,275
774,70
11619,90
16307,150
30445,45
40044,250
8643,70
2233,42
11018,70
26880,100
36798,90
26223,98
15969,100
11755,49
2466,60
35138,180
31710,120
34323,55
21506,118
4295,99
28346,58
28133,250
191,299
28550,149
7063,100
15357,70
48597,215
41702,200
9491,175
45351,83
23948,50
9435,120
42869,166
28764,80
13129,55
3957,132
45426,50
41058,120
46154,250
12177,80
38508,35
5392,129
11425,124
30761,80
12542,125
23019,175
48696,101
24721,110
8981,180
17098,62
36303,75
11178,180
41266,125
16549,240
8029,65
7897,150
1113,110
9599,85
24173,265
2353,109
399,85
20345,85
44986,100
44965,100
5742,145
6010,50
2214,220
34073,149
26140,150
23053,150
25998,75
1330,115
2573,115
10353,50
22215,65
2363,138
8164,120
13984,80
816,250
3472,90
24109,60
1025,200
18694,75
33802,120
25324,150
23922,60
42586,85
3331,175
164,250
46721,30
43663,120
16695,85
35597,52
24745,116
40442,250
9793,200
32396,149
22458,50
23597,67
28689,277
3163,245
17410,30
20875,80
15885,80
817,139
25972,90
48437,77
17214,125
3983,60
3738,250
45798,145
10340,75
3341,90
144,115
12866,79
22934,195
46516,149
24366,100
251,37
14836,150
35962,65
621,300
40477,85
37247,260
22835,10
1295,145
39744,119
25434,150
14346,110
1675,155
6617,250
23524,35
19399,50
36994,139
8920,70
21592,95
2939,60
27795,175
16490,72
47079,215
14685,65
32634,65
21730,72
5119,55
10024,190
11907,110
48585,60
35862,65
9709,125
16201,60
20196,86
33308,295
39594,199
2064,140
34239,50
46704,50
44777,65
2815,100
31587,60
14677,140
9308,100
9183,50
48606,75
24273,60
33926,100
22052,105
24278,250
42617,45
38434,55
16846,200
7363,120
26896,165
14670,295
1269,200
38059,90
31693,78
45454,90
25183,65
31335,65
28387,55
14522,228
11991,95
2993,100
41292,68
12742,99
6684,50
39830,65
40986,60
29766,169
14226,150
22333,82
39224,56
38367,199
42916,135
21409,175
22633,39
34119,100
9008,100
3822,86
24823,95
37492,138
10027,65
16693,35
21901,71
38090,99
11251,175
20009,22
23855,124
24974,51
46561,99
5475,199
12096,121
17873,99
30256,179
23032,287
40670,100
30711,120
39481,35
41446,227
17037,189
12062,70
39730,80
21021,95
11055,100
47262,63
16395,250
45452,150
48159,250
46739,250
30471,250
30990,188
33257,59
18943,70
29170,70
3898,98
31726,45
9669,109
8796,145
42450,25
21487,53
3285,80
28630,90
30887,50
11050,99
16872,301
25501,80
12275,58
14818,89
22461,99
6387,189
39187,99
48751,250
1103,39
25069,125
13567,210
5698,135
39021,69
21708,65
36495,40
14682,133
119,99
39697,60
41014,65
13391,70
29078,55
14421,140
36613,155
322,150
23985,40
7929,60
31819,200
2743,89
3003,185
166,80
41159,90
16950,50
35103,76
12842,60
22537,146
31530,50
39680,180
39803,80
46026,120
786,90
26594,239
21159,69
23695,55
47369,30
42252,150
44586,192
38872,35
13026,219
41644,100
5075,100
5630,75
48142,49
23678,30
44399,185
19575,95
18095,45
13029,69
42932,72
16438,101
42062,125
39169,60
28754,225
23671,101
5958,140
46156,135
9479,75
16268,205
23644,90
29581,65
19872,49
10806,60
9230,150
46587,150
10002,40
10787,194
34412,85
31694,160
6477,112
18132,140
10120,99
19903,65
25005,200
18977,59
28620,105
33256,175
7214,129
4203,189
47358,89
7064,99
15175,125
34854,135
30397,90
17805,80
3649,90
21824,105
33644,150
11546,155
18898,75
5048,104
23164,100
31682,190
33722,70
11342,149
38909,47
8945,215
31348,89
38935,42
11278,200
14692,142
16886,76
21746,70
15139,55
35950,150
23654,45
27073,215
18186,95
10439,65
42704,85
41449,120
9362,95
34980,295
34658,115
41919,300
24362,150
7410,100
16331,99
23186,238
43490,90
9723,68
25127,120
21508,100
8174,100
40347,55
15228,100
27262,80
23669,250
8366,212
40133,25
38449,50
29985,150
18652,99
172,150
42242,59
3389,325
5663,175
48519,169
39673,109
17622,109
48629,38
15230,115
8189,65
39088,38
13597,68
30174,125
14929,110
30374,51
24485,140
29035,175
18903,105
15652,175
42533,200
6901,99
11467,95
13159,200
39514,75
25640,60
43333,49
46657,269
45606,299
6300,100
25942,150
30732,45
22945,45
4626,105
6169,49
19975,120
24030,37
5501,88
10349,75
40151,30
13758,95
11303,33
19885,180
24655,76
42801,100
44427,187
24731,80
12190,60
25676,44
25008,149
21027,184
15584,53
13393,125
33944,31
26668,125
27692,225
41517,55
8733,33
22493,110
22060,45
27842,165
6207,99
23375,44
31420,165
1325,155
33970,75
4708,78
27509,250
45624,93
19896,40
16533,52
46728,150
37459,38
28612,75
5145,200
42419,55
19210,118
26246,78
33226,58
29258,99
3363,130
39624,34
37708,250
28315,73
39564,70
25692,70
17932,54
12963,210
25272,75
14050,83
43808,65
1236,175
47185,129
23874,195
8329,55
7620,40
14882,54
8556,60
24904,40
23087,80
43270,300
13804,190
34638,65
14842,165
5904,190
38642,45
21356,65
43841,140
46220,42
13702,49
42885,75
27104,110
23734,99
37699,65
66,225
7989,97
1665,39
34780,200
40484,180
38559,115
31826,60
27274,150
11655,150
38473,91
23877,60
41571,85
33050,55
42198,70
29417,180
18126,109
11536,120
44384,150
25762,130
30687,100
32595,125
1967,100
37689,110
42786,44
709,101
43966,180
1909,75
29179,53
15089,73
4853,115
27679,45
26569,290
11214,120
36166,300
27507,125
25112,120
22085,60
5658,200
30242,149
25315,51
23997,60
20915,85
6753,200
31940,100
18139,55
22847,78
40176,98
44828,58
21137,144
45919,200
27148,56
29085,50
20538,180
26180,300
8812,89
24549,114
24107,150
42297,69
7925,195
39309,45
27480,125
32101,45
40162,48
19461,51
39193,128
17217,265
3009,80
2832,300
22034,145
13435,64
47082,145
12218,69
5050,199
15434,40
36694,79
48589,35
18699,125
18249,99
12055,110
31764,100
12457,39
19940,75
45431,120
35783,69
1231,50
18999,65
10239,50
25103,60
13885,65
34224,90
27430,33
16467,150
366,249
18016,49
20653,150
27837,120
29544,150
47144,190
25691,55
2541,75
23359,45
21297,45
14996,69
34406,45
30279,36
35802,207
43287,30
2843,59
15917,30
30992,60
9806,67
34649,38
34754,80
29624,40
48792,80
13207,49
24654,70
35009,150
44994,100
12781,125
20475,80
45723,137
29396,60
5124,200
23212,55
45976,42
32481,190
28787,135
45019,100
36817,200
40428,101
29756,86
34869,88
37705,24
47357,175
23008,125
31512,209
5337,65
22802,119
9293,44
3001,90
40641,80
1626,120
8200,109
7399,85
9780,210
31802,75
7422,69
15635,150
5415,300
46917,80
39381,69
3430,272
11144,49
6683,95
45421,220
31602,45
24581,45
28349,102
19566,145
1997,60
38033,115
34317,140
18263,60
22531,109
34837,35
37074,255
5975,215
20284,130
5561,119
22542,45
375,90
20360,70
28383,70
21049,109
704,125
18206,80
13425,299
30346,50
18925,60
10202,85
7234,109
16867,219
6074,125
29183,59
7986,110
43716,60
4260,300
29046,64
29421,70
25106,75
24695,103
14548,150
27831,40
39204,150
31724,120
26664,43
38058,170
29598,75
7020,300
28402,200
48647,28
14735,142
20726,300
35504,150
36837,150
19824,265
11237,107
20283,55
42822,144
44061,120
33162,75
31054,90
39246,125
35636,125
34035,40
3300,100
16389,300
13712,160
36124,150
14330,130
47983,99
20702,205
47388,150
22879,120
33892,100
31658,40
5810,100
30745,60
12358,100
24887,140
36456,55
25137,100
12471,135
46226,229
29753,249
23113,165
30998,60
17343,65
39411,41
26798,89
16923,75
31985,160
33675,95
31403,50
10822,160
3819,220
